"No.","Scan List Name","Scan Channel Member","Scan Channel Member RX Frequency","Scan Channel Member TX Frequency","Scan Channel Member Slot","Scan Channel Member Color Code","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 1 RX Frequency","Priority Channel 1 TX Frequency","Priority Channel 1 Slot","Priority Channel 1 Color Code","Priority Channel 2","Priority Channel 2 RX Frequency","Priority Channel 2 TX Frequency","Priority Channel 2 Slot","Priority Channel 2 Color Code","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"1","OE-1","430.3000 A|144.6500 A|144.5500 A|438.950/1|438.800/3|438.650/1|145.750/1|145.625/1|38.3375+1|38.3375+2|38.500+1|38.500+2|38.500-1|38.500-2","430.30000|144.65000|144.55000|438.95000|438.80000|438.65000|145.75000|145.62500|438.33750|438.33750|438.50000|438.50000|438.50000|438.50000","430.30000|144.65000|144.55000|431.35000|431.20000|431.05000|145.15000|145.02500|430.73750|430.73750|430.90000|430.90000|430.90000|430.90000","Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot2|Slot1|Slot2|Slot1|Slot2","0|0|0|0|0|0|0|0|1|1|1|1|1|1","Off","Off","Off","","","","","Off","","","","","Selected","0.5","0.5","0.1","0.1"
"2","OE-2","39.0875+2|145.6125/2|145.650/2|145.6875/2|145.7625/2|438.825/2|438.975/2|144.7375 A|144.7500 A|144.7625 A|144.8625 A|144.8750 A|144.8875 A|144.5000 A|144.5125 A|144.5250 A|144.5375 A|144.5500 A|144.6125 A|144.6250 A|144.6375 A|144.6500 A|144.6625 A|144.6750 A|144.6875 A","439.08750|145.61250|145.65000|145.68750|145.76250|438.82500|438.97500|144.73750|144.75000|144.76250|144.86250|144.87500|144.88750|144.50000|144.51250|144.52500|144.53750|144.55000|144.61250|144.62500|144.63750|144.65000|144.66250|144.67500|144.68750","431.48750|145.01250|145.05000|145.08750|145.16250|431.22500|431.37500|144.73750|144.75000|144.76250|144.86250|144.87500|144.88750|144.50000|144.51250|144.52500|144.53750|144.55000|144.61250|144.62500|144.63750|144.65000|144.66250|144.67500|144.68750","Slot2|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1","1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","Off","Off","Off","","","","","Off","","","","","Selected","0.5","0.5","0.1","0.1"
"3","OE-3","38.200-2|38.325+2|38.375-2|38.400+2|38.425+2|38.475+2|38.500+2|38.550+2|38.575+2|38.675+2|38.700-2|38.850+2|39.075+2|39.075-2|145.6375/3|145.650/3|145.700/3|145.7625/3|145.7875/3|438.600/3|438.675/3|438.700/3|438.750/3|438.775/3|438.800/3|438.900/3|438.925/3|438.975/3|438.850/3|438.875/3|439.025/3","438.20000|438.32500|438.37500|438.40000|438.42500|438.47500|438.50000|438.55000|438.57500|438.67500|438.70000|438.85000|439.07500|439.07500|145.63750|145.65000|145.70000|145.76250|145.78750|438.60000|438.67500|438.70000|438.75000|438.77500|438.80000|438.90000|438.92500|438.97500|438.85000|438.87500|439.02500","430.60000|430.72500|430.77500|430.80000|430.82500|430.87500|430.90000|430.95000|430.97500|431.07500|431.10000|431.25000|431.47500|431.47500|145.03750|145.05000|145.10000|145.16250|145.18750|431.00000|431.07500|431.10000|431.15000|431.17500|431.20000|431.30000|431.32500|431.37500|431.25000|431.27500|431.42500","Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1","1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","Off","Off","Off","","","","","Off","","","","","Selected","0.5","0.5","0.1","0.1"
"4","OE-4","38.550+1|38.550+2|145.775/4|438.725/4|144.7375 A|144.7500 A|144.7625 A|144.7750 A|144.7875 A|144.8125 A|144.6125 A|144.6250 A|144.6375 A|144.6500 A|144.6625 A|144.6750 A|144.5000 A|144.5125 A|144.5250 A|144.5375 A|144.5500 A|144.5625 A|144.8625 A|144.8750 A|144.8875 A|144.9000 A|144.9125 A|144.9250 A","438.55000|438.55000|145.77500|438.72500|144.73750|144.75000|144.76250|144.77500|144.78750|144.81250|144.61250|144.62500|144.63750|144.65000|144.66250|144.67500|144.50000|144.51250|144.52500|144.53750|144.55000|144.56250|144.86250|144.87500|144.88750|144.90000|144.91250|144.92500","430.95000|430.95000|145.17500|431.12500|144.73750|144.75000|144.76250|144.77500|144.78750|144.81250|144.61250|144.62500|144.63750|144.65000|144.66250|144.67500|144.50000|144.51250|144.52500|144.53750|144.55000|144.56250|144.86250|144.87500|144.88750|144.90000|144.91250|144.92500","Slot1|Slot2|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1","1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","Off","Off","Off","","","","","Off","","","","","Selected","0.5","0.5","0.1","0.1"
"5","OE-5","38.475+2|38.800+2|145.600/5|145.7125/5|145.750/5|145.775/5|438.575/5|438.650/5|438.725/5|438.750/5|438.775/5|438.950/5|438.975/5|439.0625/5|144.5000 A|144.5125 A|144.5250 A|144.6125 A|144.6250 A|144.6375 A|144.7375 A|144.7500 A|144.7625 A|144.8625 A|144.8750 A|144.8875 A","438.47500|438.80000|145.60000|145.71250|145.75000|145.77500|438.57500|438.65000|438.72500|438.75000|438.77500|438.95000|438.97500|439.06250|144.50000|144.51250|144.52500|144.61250|144.62500|144.63750|144.73750|144.75000|144.76250|144.86250|144.87500|144.88750","430.87500|431.20000|145.00000|145.11250|145.15000|145.17500|430.97500|431.05000|431.12500|431.15000|431.17500|431.35000|431.37500|431.46250|144.50000|144.51250|144.52500|144.61250|144.62500|144.63750|144.73750|144.75000|144.76250|144.86250|144.87500|144.88750","Slot2|Slot2|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1","1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","Off","Off","Off","","","","","Off","","","","","Selected","0.5","0.5","0.1","0.1"
"6","OE-6","39.075-1|39.075-2|38.250+2|38.425+2|38.525-1|38.525-2|38.600+2|38.9125+2|38.925+2|38.950-1|38.950-2|145.600/6|145.650/6|145.675/6|145.775/6|438.200/6|438.625/6|438.650/6|438.675/6|438.750/6|438.775/6|438.800/6|438.875/6|438.975/6|439.000/6|439.025/6|439.050/6|439.100/6|144.5000 A|144.5125 A|144.7625 A","439.07500|439.07500|438.25000|438.42500|438.52500|438.52500|438.60000|438.91250|438.92500|438.95000|438.95000|145.60000|145.65000|145.67500|145.77500|438.20000|438.62500|438.65000|438.67500|438.75000|438.77500|438.80000|438.87500|438.97500|439.00000|439.02500|439.05000|439.10000|144.50000|144.51250|144.76250","431.47500|431.47500|430.65000|430.82500|430.92500|430.92500|431.00000|431.31250|431.32500|431.35000|431.35000|145.00000|145.05000|145.07500|145.17500|430.60000|431.02500|431.05000|431.07500|431.15000|431.17500|431.20000|431.27500|431.37500|431.40000|431.42500|431.45000|431.50000|144.50000|144.51250|144.76250","Slot1|Slot2|Slot2|Slot2|Slot1|Slot2|Slot2|Slot2|Slot2|Slot1|Slot2|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1","1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","Off","Off","Off","","","","","Off","","","","","Selected","0.5","0.5","0.1","0.1"
"7","OE-7","38.300+2|38.350+2|38.450+2|38.500+2|38.875+2|38.925+2|39.075+2|145.6125/7|145.6625/7|145.675/7|145.6875/7|145.700/7|145.750/7|145.7625/7|145.775/7|145.7875/7|438.400/7|438.600/7|438.875/7|438.900/7|439.025/7|439.050/7|439.075/7|144.5000 A|144.5125 A|144.6125 A|144.6250 A|144.7625 A|144.7750 A|144.8875 A|144.9000 A","438.30000|438.35000|438.45000|438.50000|438.87500|438.92500|439.07500|145.61250|145.66250|145.67500|145.68750|145.70000|145.75000|145.76250|145.77500|145.78750|438.40000|438.60000|438.87500|438.90000|439.02500|439.05000|439.07500|144.50000|144.51250|144.61250|144.62500|144.76250|144.77500|144.88750|144.90000","430.70000|430.75000|430.85000|430.90000|431.27500|431.32500|431.47500|145.01250|145.06250|145.07500|145.08750|145.10000|145.15000|145.16250|145.17500|145.18750|430.80000|431.00000|431.27500|431.30000|431.42500|431.45000|431.47500|144.50000|144.51250|144.61250|144.62500|144.76250|144.77500|144.88750|144.90000","Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1","1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","Off","Off","Off","","","","","Off","","","","","Selected","0.5","0.5","0.1","0.1"
"8","OE-8","38.450+2|38.450-2|38.500+2|38.600+2|38.850+2|38.900-2|38.950+2|145.625/8|145.650/8|145.6625/8|145.7625/8|438.650/8|439.000/8|439.050/8|144.5000 A|144.5125 A|144.5250 A|144.6125 A|144.6250 A|144.6375 A|144.7750 A|144.7875 A|144.8125 A|144.9000 A|144.9125 A|144.9250 A","438.45000|438.45000|438.50000|438.60000|438.85000|438.90000|438.95000|145.62500|145.65000|145.66250|145.76250|438.65000|439.00000|439.05000|144.50000|144.51250|144.52500|144.61250|144.62500|144.63750|144.77500|144.78750|144.81250|144.90000|144.91250|144.92500","430.85000|430.85000|430.90000|431.00000|431.25000|431.30000|431.35000|145.02500|145.05000|145.06250|145.16250|431.05000|431.40000|431.45000|144.50000|144.51250|144.52500|144.61250|144.62500|144.63750|144.77500|144.78750|144.81250|144.90000|144.91250|144.92500","Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1","1|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","Off","Off","Off","","","","","Off","","","","","Selected","0.5","0.5","0.1","0.1"
"9","OE-9","38.250-2|38.275+2|38.275-2|38.500+2|38.500-2|39.050-2|145.650/9|438.525/9|438.550/9|438.625/9|438.825/9|438.875/9|144.5000 A|144.5125 A|144.5250 A|144.6125 A|144.6250 A|144.6375 A|144.7750 A|144.7875 A|144.8125 A|144.9000 A|144.9125 A|144.9250 A","438.25000|438.27500|438.27500|438.50000|438.50000|439.05000|145.65000|438.52500|438.55000|438.62500|438.82500|438.87500|144.50000|144.51250|144.52500|144.61250|144.62500|144.63750|144.77500|144.78750|144.81250|144.90000|144.91250|144.92500","430.65000|430.67500|430.67500|430.90000|430.90000|431.45000|145.05000|430.92500|430.95000|431.02500|431.22500|431.27500|144.50000|144.51250|144.52500|144.61250|144.62500|144.63750|144.77500|144.78750|144.81250|144.90000|144.91250|144.92500","Slot2|Slot2|Slot2|Slot2|Slot2|Slot2|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1|Slot1","1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","Off","Off","Off","","","","","Off","","","","","Selected","0.5","0.5","0.1","0.1"
"10","PMR A","","","","","","Off","Off","Off","","","","","Off","","","","","Selected","0.5","0.5","0.1","0.1"
