"No.","Radio ID","Name","Call Type","Call Alert"
"1","1","TG1 WW","Group Call","None"
"2","2","TG2 EU","Group Call","None"
"3","7","TG7 Regional","Group Call","None"
"4","8","TG8 Regional","Group Call","None"
"5","9","TG9 Lokal","Group Call","None"
"6","10","TG10 DE-WW","Group Call","None"
"7","13","TG13 EN-WW","Group Call","None"
"8","20","TG20 DACH","Group Call","None"
"9","23","TG23 EN-EU","Group Call","None"
"10","91","TG91 BM-WW","Group Call","None"
"11","92","TG92 BM-EU","Group Call","None"
"12","93","TG93 BM-N-AM","Group Call","None"
"13","95","TG95 BM Pazifik","Group Call","None"
"14","99","TG99 Simplex","Group Call","None"
"15","110","TG110 UA-DE","Group Call","None"
"16","113","TG113 UA-EN","Group Call","None"
"17","120","TG120 UA-DE","Group Call","None"
"18","123","TG123 UA-EN","Group Call","None"
"19","204","TG204 NL","Group Call","None"
"20","206","TG206 ON","Group Call","None"
"21","208","TG208 F","Group Call","None"
"22","228","TG228 HB","Group Call","None"
"23","232","TG232 OE","Group Call","None"
"24","235","TG235 UK","Group Call","None"
"25","262","TG262 DE","Group Call","None"
"26","270","TG270 LX","Group Call","None"
"27","310","TG310 USA","Group Call","None"
"28","311","TG311 USA","Group Call","None"
"29","312","TG312 USA","Group Call","None"
"30","313","TG313 USA","Group Call","None"
"31","314","TG314 USA","Group Call","None"
"32","315","TG315 USA","Group Call","None"
"33","316","TG316 USA","Group Call","None"
"34","317","TG317 USA","Group Call","None"
"35","318","TG318 USA","Group Call","None"
"36","319","TG319 USA","Group Call","None"
"37","910","TG910 BM WW-DE","Group Call","None"
"38","913","TG913 BM UA-EN","Group Call","None"
"39","920","TG920 BM DACH","Group Call","None"
"40","923","TG923 BM UA-EN","Group Call","None"
"41","2280","TG2280 HB DE","Group Call","None"
"42","2283","TG2283 HB Bern","Group Call","None"
"43","2284","TG2284 HB Basel","Group Call","None"
"44","2320","TG2320 OE-Master","Group Call","None"
"45","2321","TG2321 OE-Wien","Group Call","None"
"46","2322","TG2322 OE-Salzbu","Group Call","None"
"47","2323","TG2323 OE-Ni-Oes","Group Call","None"
"48","2324","TG2324 OE-Burgen","Group Call","None"
"49","2325","TG2325 OE-Ob-Oes","Group Call","None"
"50","2326","TG2326 OE-Steier","Group Call","None"
"51","2327","TG2327 OE-Tirol","Group Call","None"
"52","2328","TG2328 OE-Kaernt","Group Call","None"
"53","2329","TG2329 OE-Voralb","Group Call","None"
"54","2350","TG2350 UK Genera","Group Call","None"
"55","2351","TG2351 UK Chat 1","Group Call","None"
"56","2352","TG2352 UK Chat 2","Group Call","None"
"57","2353","TG2353 UK Chat 3","Group Call","None"
"58","2354","TG2354 Ireland","Group Call","None"
"59","2355","TG2355 Scotland","Group Call","None"
"60","2357","TG2357 UK Wales","Group Call","None"
"61","2359","TG2359 UK Kernow","Group Call","None"
"62","23500","TG23500 UK S. We","Group Call","None"
"63","23510","TG23510 UK S. Ea","Group Call","None"
"64","23520","TG23520 UK N. We","Group Call","None"
"65","23540","TG23540 Ireland","Group Call","None"
"66","23550","TG23550 Scotland","Group Call","None"
"67","23560","TG23560 N. East","Group Call","None"
"68","23570","TG23570 Wales Ch","Group Call","None"
"69","23580","TG23580 W. Midla","Group Call","None"
"70","2501","TG2501 RU-Global","Group Call","None"
"71","2555","TG2555 Ukraine","Group Call","None"
"72","2620","2620 SA-Anhalt","Group Call","None"
"73","2621","2621 Berlin","Group Call","None"
"74","2622","2622 HH/S-Hol","Group Call","None"
"75","2623","2623 Niedersachs","Group Call","None"
"76","2624","2624 NRW","Group Call","None"
"77","2625","2625 RLP/Saarlan","Group Call","None"
"78","2626","2626 Hessen","Group Call","None"
"79","2627","2627 BadWuert","Group Call","None"
"80","2628","2628 Bayern","Group Call","None"
"81","2629","2629 Sachsen","Group Call","None"
"82","2701","TG2701 LX-Sued","Group Call","None"
"83","2702","TG2702 LX-Nord","Group Call","None"
"84","2703","TG2703 LX-Center","Group Call","None"
"85","2707","TG2707 LX-Laru","Group Call","None"
"86","3026","TG3026 Canada EN","Group Call","None"
"87","3100","TG3100 All USA","Group Call","None"
"88","3160","TG3160 BM Adm-US","Group Call","None"
"89","4000","TG4000 TRENNEN","Group Call","None"
"90","4001","TG4001 DMR+ DE","Group Call","None"
"91","4013","TG4013 DMR+ RLP/","Group Call","None"
"92","4262","TG4262 DMR+ DE","Group Call","None"
"93","9112","TG9112 Notfunk","Group Call","None"
"94","9911","TG9911 EMCom","Group Call","None"
"95","26200","TG26200 TAC 1","Group Call","None"
"96","26233","TG26233 TAC 3","Group Call","None"
"97","26250","TG26250 Saarland","Group Call","None"
"98","26266","TG26266 TAC 4","Group Call","None"
"99","26277","TG26277 Schwarzw","Group Call","None"
"100","26299","TG26299 TAC 2","Group Call","None"
"101","27090","TG27090 LX-Dstar","Group Call","None"
"102","31090","TG31090 USA","Group Call","None"
"103","31091","TG31091 USA","Group Call","None"
"104","31092","TG31092 USA","Group Call","None"
"105","31093","TG31093 USA","Group Call","None"
"106","31094","TG31094 USA","Group Call","None"
"107","31095","TG31095 USA","Group Call","None"
"108","31096","TG31096 USA","Group Call","None"
"109","31097","TG31097 USA","Group Call","None"
"110","31098","TG31098 USA","Group Call","None"
"111","31099","TG31099 USA","Group Call","None"
"112","31304","TG31304 USA","Group Call","None"
"113","26350","TG26350 OV Q CH","Group Call","None"
"114","263113","TG263113 SkyWarn","Group Call","None"
